Country and regions,Both sexes rank,Both sexes life expectancy,Female rank,Female life expectancy,Male rank,Male life expectancy,Both sexes rank (HALE),Both sexes life expectancy (HALE)
Afghanistan,161,60.5,161,61.9,158,59.3,164,52.2
Albania,37,77.8,38,80.7,39,75.1,38,68.8
Algeria,60,75.6,81,77.5,50,73.8,75,66.0
Angola,182,52.4,182,54.0,181,50.9,182,45.8
Antigua and Barbuda,49,76.4,57,78.6,46,74.1,50,67.5
Argentina,50,76.3,44,79.9,65,72.7,49,67.6
Armenia,73,74.8,79,77.7,75,71.6,59,66.8
Australia,4,82.8,7,84.8,3,80.9,15,71.9
Austria,18,81.5,14,83.9,19,79.0,12,72.0
Azerbaijan,96,72.7,97,75.8,95,69.6,93,64.7
Bahamas,53,76.1,50,79.1,62,72.9,65,66.6
Bahrain,45,76.9,71,77.9,37,76.2,55,67.0
Bangladesh,102,71.8,113,73.1,89,70.6,111,62.3
Barbados,62,75.5,71,77.9,59,73.1,65,66.6
Belarus,98,72.3,66,78.0,119,66.5,85,65.1
Belgium,21,81.1,22,83.5,22,78.6,26,71.1
Belize,112,70.1,113,73.1,110,67.5,111,62.3
Benin,162,60.0,164,61.1,163,58.8,162,52.5
Bhutan,114,69.8,126,70.1,97,69.5,120,61.2
Bolivia,108,70.7,110,73.3,103,68.2,113,62.2
Bosnia and Herzegovina,42,77.4,45,79.7,40,75.0,40,68.6
Botswana,137,65.7,136,68.1,137,63.3,138,56.9
Brazil,67,75.0,56,78.7,78,71.4,81,65.5
Brunei,39,77.7,47,79.2,36,76.3,29,70.4
Bulgaria,80,74.5,66,78.0,86,71.1,72,66.4
Burkina Faso,163,59.9,167,60.5,160,59.1,161,52.6
Burundi,166,59.6,162,61.6,168,57.7,164,52.2
Cambodia,123,68.7,123,70.7,116,66.6,130,58.9
Cameroon,174,57.3,173,58.6,174,55.9,173,50.3
Canada,12,82.2,10,84.1,8,80.2,10,72.3
Cape Verde,93,73.3,103,75.0,81,71.3,97,64.4
Central African Republic,181,52.5,181,54.1,181,50.9,181,45.9
Chad,180,53.1,179,54.5,179,51.7,180,46.1
Chile,28,80.5,23,83.4,29,77.4,29,70.4
China,53,76.1,80,77.6,44,74.6,41,68.5
Colombia,73,74.8,61,78.4,84,71.2,85,65.1
Comoros,146,63.5,151,65.2,144,61.9,145,55.9
Congo,142,64.7,144,66.3,138,63.2,140,56.6
Costa Rica,30,79.6,30,82.2,31,77.1,31,69.7
Cote d'Ivoire,179,53.3,180,54.4,178,52.3,178,47.0
Croatia,36,78.0,36,81.2,42,74.7,33,69.4
Cuba,32,79.1,34,81.4,32,76.9,35,69.2
